5228,鈺鎧,櫃,2023/12/12,,22,-0.05,-0.23,11,0.24,22.05,22.05,22.1,22,0.45,,1.34,    ,    ,    ,    ,    
5251,天鉞電,櫃,2023/12/12,,19.1,-0.05,-0.26,34,0.65,19.15,19.15,19.15,19.05,0.52,,1.57,    ,    ,    ,    ,    
5276,達輝-KY,櫃,2023/12/12,,13.9,0.4,2.96,1,0.01,13.5,13.9,13.9,13.9,0,,1.07,    ,    ,    ,    ,    
5301,寶得利,櫃,2023/12/12,,10.95,-0.15,-1.35,13,0.14,11.1,11,11,10.9,0.9,,2.23,    ,    ,    ,    ,    
5302,太欣,櫃,2023/12/12,,11.9,0.1,0.85,539,6.49,11.8,12,12.25,11.9,2.97,,1.43,    ,    ,    ,    ,    
5310,天剛,櫃,2023/12/12,,21.65,-0.15,-0.69,5,0.12,21.8,21.6,21.65,21.6,0.23,,3.54,    ,    ,    ,    ,    
5315,光聯,櫃,2023/12/12,,18.3,0,0,203,3.73,18.3,18.35,18.4,18.25,0.82,13.4,1.26,    ,    ,    ,    ,    
5324,士開,櫃,2023/12/12,,13.1,0.8,6.5,4890,60.4,12.3,12.25,13.1,11.95,9.35,,2.15,    ,    ,    ,    ,    
5328,華容,櫃,2023/12/12,,16.35,-0.8,-4.66,5336,88.6,17.15,17.2,17.3,16.35,5.54,29.2,1.56,    ,    ,    ,    ,    
5344,立衛,櫃,2023/12/12,,22.5,1.25,5.88,472,10.4,21.25,21.4,22.65,21.4,5.88,,3.67,    ,    ,    ,    ,    
5345,天揚,櫃,2023/12/12,,13.2,0.35,2.72,3,0.04,12.85,12.85,13.2,12.85,2.72,,2.6,    ,    ,    ,    ,    
5348,正能量智能,櫃,2023/12/12,,21.9,0.2,0.92,102,2.23,21.7,22,22.3,21.8,2.3,78.2,4.29,    ,    ,    ,    ,    
